Time (s),  Speed (steps/s), Accel (steps/s^2),  Posit'n (steps), Step time (ticks)
0,1,1,1,1000
0.953,1.05,0.052,2,952.5
1.858,1.105,0.061,3,905
2.716,1.166,0.071,4,857.5
3.526,1.235,0.084,5,810
4.289,1.311,0.101,6,762.5
5.004,1.399,0.122,7,715
5.672,1.498,0.149,8,667.5
6.292,1.613,0.185,9,620
6.865,1.747,0.234,10,572.5
7.39,1.905,0.301,11,525
7.868,2.094,0.397,12,477.5
8.298,2.326,0.538,13,430
8.681,2.614,0.755,14,382.5
9.016,2.985,1.107,15,335
9.304,3.478,1.715,16,287.5
9.544,4.167,2.868,17,240
9.737,5.195,5.341,18,192.5
9.882,6.897,11.736,19,145
9.98,10.256,34.46,20,97.5
10.03,20,194.872,21,50
10.08,20,0,22,50
10.13,20,0,23,50
10.18,20,0,24,50
10.23,20,0,25,50
10.28,20,0,26,50
10.33,20,0,27,50
10.38,20,0,28,50
10.43,20,0,29,50
10.48,20,0,30,50
10.578,10.256,-99.934,31,97.5
10.723,6.897,-23.171,32,145
10.916,5.195,-8.84,33,192.5
11.156,4.167,-4.284,34,240
11.444,3.478,-2.394,35,287.5
11.779,2.985,-1.472,36,335
12.162,2.614,-0.969,37,382.5
12.592,2.326,-0.672,38,430
13.07,2.094,-0.484,39,477.5
13.595,1.905,-0.361,40,525
14.168,1.747,-0.276,41,572.5
14.788,1.613,-0.216,42,620
15.456,1.498,-0.172,43,667.5
16.171,1.399,-0.139,44,715
16.934,1.311,-0.114,45,762.5
17.744,1.235,-0.095,46,810
18.602,1.166,-0.08,47,857.5
19.507,1.105,-0.068,48,905
20.46,1.05,-0.058,49,952.5
21.46,1,-0.05,50,1000